,,,YAW,PITCH,ROLL
369,51:01.2,ypr,108.25,144.92,149.23
371,51:01.3,ypr,108,145.22,149.31
373,51:01.3,ypr,107.76,145.5,149.38
375,51:01.3,ypr,107.53,145.76,149.48
377,51:01.3,ypr,107.29,145.97,149.6
379,51:01.3,ypr,107.07,146.13,149.7
381,51:01.3,ypr,106.86,146.29,149.83
383,51:01.3,ypr,106.67,146.41,149.94
385,51:01.3,ypr,106.5,146.56,150.04
387,51:01.3,ypr,106.38,146.7,150.11
389,51:01.3,ypr,106.28,146.84,150.18
391,51:01.4,ypr,106.18,146.9,150.25
393,51:01.4,ypr,106.05,146.9,150.29
395,51:01.4,ypr,105.92,146.77,150.24
397,51:01.4,ypr,105.8,146.53,150.15
399,51:01.4,ypr,105.71,146.2,149.97
401,51:01.4,ypr,105.68,145.78,149.68
403,51:01.4,ypr,105.66,145.34,149.37
405,51:01.4,ypr,105.66,144.97,149.05
407,51:01.4,ypr,105.68,144.68,148.8
409,51:01.4,ypr,105.69,144.46,148.65
411,51:01.5,ypr,105.68,144.32,148.57
413,51:01.5,ypr,105.65,144.17,148.55
415,51:01.5,ypr,105.63,144,148.45
417,51:01.5,ypr,105.62,143.82,148.29
419,51:01.5,ypr,105.61,143.66,148.12
421,51:01.5,ypr,105.68,143.43,147.84
423,51:01.5,ypr,105.79,143.2,147.52
425,51:01.5,ypr,105.92,143,147.25
427,51:01.5,ypr,106.07,142.8,147.01
429,51:01.5,ypr,106.17,142.61,146.86
431,51:01.6,ypr,106.18,142.43,146.81
433,51:01.6,ypr,106.13,142.25,146.84
435,51:01.6,ypr,106.03,142.05,146.89
437,51:01.6,ypr,105.93,141.8,146.94
439,51:01.6,ypr,105.82,141.53,146.95
441,51:01.6,ypr,105.75,141.28,146.89
443,51:01.6,ypr,105.72,141.02,146.78
445,51:01.6,ypr,105.78,140.81,146.6
447,51:01.6,ypr,105.89,140.57,146.41
449,51:01.6,ypr,106.04,140.36,146.26
451,51:01.6,ypr,106.16,140.17,146.18
453,51:01.7,ypr,106.24,139.94,146.16
455,51:01.7,ypr,106.19,139.77,146.29
457,51:01.7,ypr,106.02,139.6,146.5
459,51:01.7,ypr,105.79,139.39,146.67
461,51:01.7,ypr,105.58,139.06,146.77
463,51:01.7,ypr,105.46,138.63,146.69
465,51:01.7,ypr,105.48,138.16,146.44
467,51:01.7,ypr,105.64,137.68,146.06
469,51:01.7,ypr,105.86,137.18,145.7
471,51:01.8,ypr,106.14,136.7,145.28
473,51:01.8,ypr,106.39,136.3,144.99
475,51:01.8,ypr,106.59,135.99,144.81
477,51:01.8,ypr,106.67,135.77,144.85
479,51:01.8,ypr,106.63,135.59,145.05
481,51:01.8,ypr,106.57,135.46,145.29
483,51:01.8,ypr,106.46,135.28,145.52
485,51:01.8,ypr,106.36,135.07,145.7
487,51:01.8,ypr,106.36,134.72,145.68
489,51:01.8,ypr,106.53,134.27,145.4
491,51:01.9,ypr,106.85,133.83,145
493,51:01.9,ypr,107.25,133.46,144.53
495,51:01.9,ypr,107.59,133.15,144.2
497,51:01.9,ypr,107.75,132.92,144.14
499,51:01.9,ypr,107.78,132.74,144.34
501,51:01.9,ypr,107.61,132.57,144.78
503,51:01.9,ypr,107.28,132.45,145.4
505,51:01.9,ypr,106.87,132.3,146.02
507,51:01.9,ypr,106.46,132.19,146.63
509,51:01.9,ypr,106.09,132.04,147.13
511,51:02.0,ypr,105.83,131.86,147.47
513,51:02.0,ypr,105.72,131.66,147.62
515,51:02.0,ypr,105.75,131.39,147.6
517,51:02.0,ypr,105.8,131.06,147.5
519,51:02.0,ypr,105.85,130.64,147.39
521,51:02.0,ypr,105.82,130.17,147.35
523,51:02.0,ypr,105.77,129.63,147.31
525,51:02.0,ypr,105.75,129.1,147.25
527,51:02.0,ypr,105.77,128.64,147.19
529,51:02.0,ypr,105.86,128.19,147.07
531,51:02.1,ypr,106.1,127.72,146.77
533,51:02.1,ypr,106.44,127.28,146.29
535,51:02.1,ypr,106.82,126.86,145.74
537,51:02.1,ypr,107.1,126.48,145.34
539,51:02.1,ypr,107.22,126.09,145.17
541,51:02.1,ypr,107.21,125.7,145.2
543,51:02.1,ypr,107.1,125.34,145.41
545,51:02.1,ypr,106.94,125,145.74
547,51:02.1,ypr,106.76,124.69,146.13
549,51:02.1,ypr,106.64,124.43,146.49
551,51:02.2,ypr,106.59,124.22,146.77
553,51:02.2,ypr,106.59,124.04,146.98
555,51:02.2,ypr,106.65,123.86,147.11
557,51:02.2,ypr,106.72,123.67,147.19
559,51:02.2,ypr,106.77,123.48,147.24
561,51:02.2,ypr,106.79,123.26,147.34
563,51:02.2,ypr,106.78,123.06,147.46
565,51:02.2,ypr,106.79,122.78,147.51
567,51:02.2,ypr,106.84,122.54,147.53
569,51:02.2,ypr,106.89,122.36,147.67
571,51:02.3,ypr,106.95,122.16,147.84
573,51:02.3,ypr,107.01,121.98,148.07
575,51:02.3,ypr,107.06,121.84,148.35
577,51:02.3,ypr,107.09,121.76,148.74
579,51:02.3,ypr,107.06,121.69,149.24
581,51:02.3,ypr,106.99,121.63,149.82
583,51:02.3,ypr,106.88,121.48,150.36
585,51:02.3,ypr,106.85,121.32,150.74
587,51:02.3,ypr,106.81,121.17,151.14
589,51:02.3,ypr,106.79,120.97,151.43
591,51:02.4,ypr,106.82,120.77,151.62
593,51:02.4,ypr,106.87,120.6,151.8
595,51:02.4,ypr,106.93,120.47,152
597,51:02.4,ypr,106.96,120.34,152.24
599,51:02.4,ypr,106.99,120.25,152.47
601,51:02.4,ypr,106.97,120.16,152.8
603,51:02.4,ypr,107,120.07,153.02
605,51:02.4,ypr,107.06,120.02,153.31
607,51:02.4,ypr,107.14,119.99,153.56
609,51:02.4,ypr,107.22,119.91,153.76
611,51:02.5,ypr,107.34,119.87,153.95
613,51:02.5,ypr,107.45,119.85,154.19
615,51:02.5,ypr,107.59,119.87,154.42
617,51:02.5,ypr,107.72,119.92,154.7
619,51:02.5,ypr,107.83,119.97,154.99
621,51:02.5,ypr,107.95,120.02,155.27
623,51:02.5,ypr,108.11,120.09,155.53
625,51:02.5,ypr,108.28,120.2,155.78
627,51:02.5,ypr,108.48,120.32,155.99
629,51:02.5,ypr,108.7,120.45,156.15
631,51:02.6,ypr,108.96,120.62,156.29
633,51:02.6,ypr,109.22,120.79,156.4
635,51:02.6,ypr,109.47,120.96,156.53
637,51:02.6,ypr,109.72,121.14,156.69
639,51:02.6,ypr,109.98,121.33,156.78
641,51:02.6,ypr,110.23,121.52,156.91
643,51:02.6,ypr,110.5,121.73,156.99
645,51:02.6,ypr,110.78,121.96,157.07
647,51:02.6,ypr,111.07,122.17,157.16
649,51:02.6,ypr,111.36,122.4,157.22
651,51:02.7,ypr,111.64,122.63,157.33
653,51:02.7,ypr,111.92,122.88,157.47
655,51:02.7,ypr,112.17,123.11,157.65
657,51:02.7,ypr,112.41,123.32,157.84
659,51:02.7,ypr,112.64,123.54,158.04
661,51:02.7,ypr,112.87,123.77,158.21
663,51:02.7,ypr,113.14,124.02,158.34
665,51:02.7,ypr,113.43,124.29,158.46
667,51:02.7,ypr,113.71,124.55,158.56
669,51:02.7,ypr,113.92,124.73,158.66
671,51:02.8,ypr,114.03,124.85,158.84
673,51:02.8,ypr,114.12,124.96,159.03
675,51:02.8,ypr,114.17,125.11,159.27
677,51:02.8,ypr,114.26,125.25,159.46
679,51:02.8,ypr,114.38,125.45,159.63
681,51:02.8,ypr,114.55,125.69,159.79
683,51:02.8,ypr,114.76,125.96,159.91
685,51:02.8,ypr,114.98,126.25,160.04
687,51:02.8,ypr,115.22,126.57,160.17
689,51:02.8,ypr,115.43,126.86,160.31
691,51:02.9,ypr,115.62,127.13,160.46
693,51:02.9,ypr,115.79,127.37,160.6
695,51:02.9,ypr,115.95,127.62,160.75
697,51:02.9,ypr,116.11,127.87,160.88
699,51:02.9,ypr,116.27,128.11,160.99
701,51:02.9,ypr,116.45,128.36,161.07
703,51:02.9,ypr,116.64,128.6,161.09
705,51:02.9,ypr,116.86,128.84,161.08
707,51:02.9,ypr,117.11,129.08,161.01
709,51:02.9,ypr,117.35,129.32,160.9
711,51:03.0,ypr,117.6,129.54,160.76
713,51:03.0,ypr,117.86,129.8,160.61
715,51:03.0,ypr,118.1,130.05,160.51
